City,State,Age Group,Gender,Coffee Type,Daily Cups Consumed,Preferred Coffee Brand,Consumption Setting,Monthly Coffee Expense (INR),Reason for Consumption,Milk Preference,Sugar Preference,Awareness of Specialty Coffee,Frequency of Café Visits (Per Week),Preferred Time of Consumption,Influence of Social Media on Choice
Mumbai,Maharashtra,50+,Other,Espresso,1,Starbucks,Office,2573,Taste,Yes,No Sugar,No,4,Night,Yes
Chennai,Tamil Nadu,26-35,Female,Cold Coffee,3,Nestlé,Café,1293,Energy,Yes,Medium Sugar,No,5,Night,Yes
Chennai,Tamil Nadu,26-35,Female,Filter Coffee,2,Nestlé,Café,4295,Habit,Yes,High Sugar,Yes,5,Morning,No
Mumbai,Maharashtra,18-25,Other,Filter Coffee,4,Local Brand,Office,3606,Socializing,Yes,No Sugar,Yes,3,Evening,Yes
Lucknow,Uttar Pradesh,26-35,Male,Instant,1,Others,Home,4132,Habit,Yes,Less Sugar,Yes,4,Afternoon,No
Mumbai,Maharashtra,36-50,Other,Brewed,1,Local Brand,Office,4061,Habit,Yes,No Sugar,No,1,Evening,No
Delhi,Delhi,18-25,Female,Brewed,5,Others,Office,3246,Socializing,Yes,Medium Sugar,Yes,1,Morning,No
Kolkata,West Bengal,50+,Female,Instant,5,Starbucks,Home,4026,Habit,No,Less Sugar,No,6,Afternoon,No
Bangalore,Karnataka,36-50,Other,Instant,2,Others,Office,4977,Taste,Yes,Less Sugar,No,2,Night,No
Chennai,Tamil Nadu,50+,Other,Filter Coffee,4,Local Brand,Home,281,Habit,No,Less Sugar,No,6,Afternoon,No
Hyderabad,Telangana,50+,Other,Filter Coffee,1,Bru,Office,2263,Socializing,No,High Sugar,Yes,5,Evening,No
Hyderabad,Telangana,26-35,Other,Instant,3,Bru,Office,3939,Energy,Yes,Medium Sugar,Yes,1,Evening,Yes
Hyderabad,Telangana,50+,Other,Filter Coffee,5,Nestlé,Office,2928,Energy,Yes,Medium Sugar,Yes,2,Morning,No
Kolkata,West Bengal,50+,Male,Filter Coffee,5,Local Brand,Home,3646,Habit,Yes,High Sugar,No,3,Afternoon,Yes
Kolkata,West Bengal,36-50,Other,Brewed,5,Nestlé,Home,2990,Socializing,Yes,No Sugar,Yes,4,Evening,Yes
Delhi,Delhi,36-50,Male,Filter Coffee,4,Bru,Home,4133,Energy,No,Less Sugar,Yes,1,Night,No
Delhi,Delhi,36-50,Female,Espresso,5,Local Brand,Office,1122,Energy,Yes,No Sugar,No,1,Afternoon,Yes
Chennai,Tamil Nadu,36-50,Other,Cold Coffee,2,Starbucks,Café,1782,Habit,Yes,Less Sugar,Yes,4,Evening,No
Pune,Maharashtra,50+,Female,Instant,3,Starbucks,Home,2797,Energy,Yes,Less Sugar,No,4,Afternoon,No
Ahmedabad,Gujarat,26-35,Female,Espresso,4,Nestlé,Home,3836,Taste,Yes,No Sugar,Yes,6,Morning,No
Hyderabad,Telangana,50+,Female,Instant,2,Starbucks,Café,550,Taste,No,High Sugar,Yes,2,Evening,No
Hyderabad,Telangana,18-25,Other,Espresso,1,Bru,Office,548,Taste,Yes,High Sugar,No,5,Afternoon,Yes
Pune,Maharashtra,50+,Female,Espresso,5,Others,Home,1217,Taste,No,Less Sugar,No,2,Morning,No
Kolkata,West Bengal,26-35,Other,Cold Coffee,4,Bru,Office,4324,Habit,Yes,High Sugar,Yes,3,Evening,No
Chennai,Tamil Nadu,26-35,Other,Instant,3,Bru,Home,2093,Energy,No,Less Sugar,No,1,Evening,Yes
Chennai,Tamil Nadu,18-25,Male,Brewed,3,Local Brand,Café,3240,Energy,Yes,Less Sugar,No,4,Night,No
Mumbai,Maharashtra,36-50,Male,Filter Coffee,2,Bru,Home,4242,Taste,Yes,Medium Sugar,Yes,6,Evening,Yes
Pune,Maharashtra,18-25,Male,Brewed,2,Bru,Café,2370,Energy,Yes,High Sugar,Yes,0,Evening,No
Kolkata,West Bengal,50+,Male,Cold Coffee,3,Starbucks,Office,3562,Energy,No,Less Sugar,Yes,6,Evening,No
Pune,Maharashtra,36-50,Male,Instant,4,Others,Office,3144,Taste,No,Medium Sugar,Yes,0,Afternoon,No
Chennai,Tamil Nadu,18-25,Female,Cold Coffee,3,Nestlé,Office,795,Energy,Yes,Medium Sugar,Yes,2,Evening,Yes
Hyderabad,Telangana,36-50,Male,Cold Coffee,3,Local Brand,Home,4169,Habit,No,Medium Sugar,No,1,Night,Yes
Pune,Maharashtra,50+,Male,Brewed,4,Others,Office,3780,Taste,No,High Sugar,Yes,1,Morning,No
Delhi,Delhi,50+,Male,Instant,5,Others,Office,3024,Habit,No,Less Sugar,No,1,Afternoon,Yes
Mumbai,Maharashtra,50+,Female,Instant,2,Starbucks,Home,1411,Habit,Yes,No Sugar,No,5,Night,No
Pune,Maharashtra,50+,Female,Instant,5,Starbucks,Home,3385,Taste,No,No Sugar,Yes,3,Morning,Yes
Mumbai,Maharashtra,18-25,Female,Filter Coffee,4,Nestlé,Home,701,Taste,Yes,High Sugar,Yes,4,Afternoon,Yes
Hyderabad,Telangana,50+,Other,Instant,1,Local Brand,Home,3766,Energy,No,High Sugar,No,5,Morning,No
Pune,Maharashtra,18-25,Female,Instant,1,Others,Café,586,Habit,No,Less Sugar,No,1,Night,Yes
Jaipur,Rajasthan,18-25,Male,Filter Coffee,5,Bru,Office,1205,Socializing,Yes,No Sugar,Yes,1,Evening,No
Bangalore,Karnataka,26-35,Female,Brewed,5,Starbucks,Café,3252,Habit,Yes,High Sugar,Yes,1,Morning,Yes
Mumbai,Maharashtra,50+,Other,Filter Coffee,4,Others,Office,1807,Habit,Yes,Medium Sugar,No,4,Evening,Yes
Pune,Maharashtra,50+,Male,Espresso,3,Local Brand,Café,1480,Habit,Yes,High Sugar,No,4,Night,No
Kolkata,West Bengal,18-25,Other,Espresso,3,Local Brand,Home,1147,Energy,No,Medium Sugar,No,6,Night,Yes
Kolkata,West Bengal,36-50,Female,Brewed,5,Starbucks,Home,1087,Energy,Yes,High Sugar,Yes,6,Afternoon,Yes
Mumbai,Maharashtra,26-35,Female,Cold Coffee,3,Starbucks,Café,348,Habit,Yes,Less Sugar,No,1,Night,No
Chennai,Tamil Nadu,18-25,Other,Brewed,3,Nestlé,Café,3949,Socializing,No,No Sugar,Yes,1,Night,Yes
Kolkata,West Bengal,36-50,Other,Filter Coffee,2,Bru,Home,4101,Energy,Yes,Medium Sugar,Yes,2,Afternoon,No
Hyderabad,Telangana,36-50,Female,Instant,1,Nestlé,Café,4751,Habit,Yes,No Sugar,Yes,0,Night,No
Ahmedabad,Gujarat,26-35,Other,Cold Coffee,5,Local Brand,Home,3470,Habit,No,No Sugar,No,5,Afternoon,Yes
Chennai,Tamil Nadu,36-50,Male,Cold Coffee,5,Bru,Office,399,Energy,Yes,No Sugar,Yes,2,Evening,Yes
Kolkata,West Bengal,26-35,Other,Espresso,5,Others,Home,1671,Energy,No,Medium Sugar,Yes,3,Night,No
Kolkata,West Bengal,36-50,Female,Filter Coffee,2,Bru,Office,3573,Socializing,Yes,Medium Sugar,Yes,6,Night,Yes
Bangalore,Karnataka,36-50,Male,Filter Coffee,2,Starbucks,Office,804,Socializing,Yes,No Sugar,Yes,0,Afternoon,Yes
Mumbai,Maharashtra,26-35,Male,Espresso,2,Nestlé,Café,1617,Socializing,No,High Sugar,Yes,4,Afternoon,No
Delhi,Delhi,36-50,Other,Cold Coffee,4,Nestlé,Café,3133,Energy,Yes,No Sugar,No,4,Morning,No
Pune,Maharashtra,50+,Male,Cold Coffee,1,Nestlé,Home,4015,Taste,Yes,High Sugar,No,4,Evening,No
Lucknow,Uttar Pradesh,18-25,Other,Cold Coffee,4,Local Brand,Home,4973,Socializing,Yes,Medium Sugar,Yes,6,Night,No
Lucknow,Uttar Pradesh,36-50,Other,Espresso,5,Starbucks,Café,2472,Taste,Yes,Less Sugar,Yes,0,Evening,Yes
Hyderabad,Telangana,50+,Male,Instant,1,Bru,Café,3520,Taste,No,No Sugar,No,6,Evening,Yes
Chennai,Tamil Nadu,18-25,Male,Cold Coffee,3,Nestlé,Office,4511,Taste,No,High Sugar,Yes,4,Evening,Yes
Lucknow,Uttar Pradesh,26-35,Other,Cold Coffee,2,Local Brand,Home,1764,Socializing,Yes,No Sugar,No,2,Night,Yes
Jaipur,Rajasthan,18-25,Male,Cold Coffee,1,Others,Home,3491,Habit,No,Less Sugar,No,6,Night,No
Jaipur,Rajasthan,26-35,Female,Instant,5,Nestlé,Home,3660,Habit,Yes,Medium Sugar,Yes,1,Afternoon,Yes
Jaipur,Rajasthan,18-25,Male,Cold Coffee,2,Nestlé,Café,4971,Energy,No,No Sugar,Yes,0,Afternoon,No
Delhi,Delhi,50+,Other,Instant,3,Starbucks,Café,1281,Socializing,Yes,Medium Sugar,No,5,Morning,No
Mumbai,Maharashtra,50+,Female,Instant,2,Starbucks,Office,2784,Socializing,Yes,No Sugar,Yes,0,Afternoon,Yes
Hyderabad,Telangana,36-50,Female,Espresso,5,Starbucks,Café,3170,Taste,Yes,High Sugar,No,0,Night,No
Mumbai,Maharashtra,50+,Other,Espresso,2,Nestlé,Home,3697,Taste,No,Medium Sugar,No,3,Night,Yes
Lucknow,Uttar Pradesh,26-35,Male,Cold Coffee,1,Nestlé,Office,1917,Taste,No,Medium Sugar,Yes,4,Afternoon,No
Hyderabad,Telangana,18-25,Male,Filter Coffee,3,Nestlé,Home,836,Taste,No,High Sugar,No,1,Afternoon,Yes
Jaipur,Rajasthan,18-25,Female,Filter Coffee,5,Local Brand,Home,1801,Energy,Yes,No Sugar,Yes,1,Night,No
Hyderabad,Telangana,50+,Male,Brewed,2,Starbucks,Home,3870,Socializing,Yes,High Sugar,No,1,Morning,Yes
Hyderabad,Telangana,50+,Female,Cold Coffee,4,Local Brand,Café,4957,Habit,No,Medium Sugar,No,4,Morning,No
Mumbai,Maharashtra,26-35,Female,Instant,4,Nestlé,Home,4831,Socializing,No,No Sugar,Yes,3,Night,No
Chennai,Tamil Nadu,50+,Female,Cold Coffee,1,Starbucks,Office,4232,Taste,Yes,No Sugar,No,0,Morning,Yes
Delhi,Delhi,50+,Male,Cold Coffee,3,Local Brand,Home,4923,Energy,No,No Sugar,Yes,4,Morning,No
Hyderabad,Telangana,36-50,Male,Espresso,1,Starbucks,Office,4341,Socializing,No,Medium Sugar,Yes,6,Afternoon,Yes
Jaipur,Rajasthan,36-50,Other,Cold Coffee,3,Local Brand,Office,2036,Habit,No,Less Sugar,Yes,1,Morning,No
Mumbai,Maharashtra,26-35,Other,Brewed,5,Starbucks,Home,2696,Energy,Yes,Medium Sugar,Yes,6,Night,No
Kolkata,West Bengal,26-35,Other,Filter Coffee,2,Nestlé,Office,3818,Socializing,No,Less Sugar,Yes,3,Night,Yes
Lucknow,Uttar Pradesh,36-50,Female,Brewed,4,Starbucks,Office,4271,Socializing,Yes,Less Sugar,No,2,Night,No
Chennai,Tamil Nadu,26-35,Female,Filter Coffee,1,Others,Café,1494,Energy,No,No Sugar,Yes,0,Evening,Yes
Delhi,Delhi,50+,Other,Filter Coffee,2,Local Brand,Home,2952,Socializing,Yes,Medium Sugar,No,6,Morning,No
Chennai,Tamil Nadu,36-50,Female,Cold Coffee,2,Bru,Home,4410,Energy,No,Less Sugar,No,3,Morning,No
Lucknow,Uttar Pradesh,26-35,Female,Espresso,3,Local Brand,Café,2641,Socializing,Yes,High Sugar,Yes,2,Morning,No
Kolkata,West Bengal,36-50,Female,Instant,2,Bru,Office,1705,Taste,No,Less Sugar,No,6,Morning,No
Pune,Maharashtra,26-35,Female,Espresso,1,Bru,Office,3249,Energy,No,No Sugar,Yes,1,Night,Yes
Mumbai,Maharashtra,18-25,Other,Instant,3,Nestlé,Office,4554,Energy,Yes,Medium Sugar,No,3,Morning,No
Delhi,Delhi,50+,Male,Cold Coffee,1,Starbucks,Café,3809,Energy,Yes,No Sugar,Yes,0,Morning,Yes
Jaipur,Rajasthan,26-35,Other,Brewed,5,Others,Café,375,Socializing,Yes,High Sugar,No,6,Afternoon,Yes
Chennai,Tamil Nadu,18-25,Male,Espresso,2,Starbucks,Office,2702,Energy,No,High Sugar,Yes,3,Night,No
Kolkata,West Bengal,50+,Male,Cold Coffee,4,Bru,Home,2745,Energy,Yes,Less Sugar,Yes,4,Night,Yes
Delhi,Delhi,50+,Female,Instant,4,Local Brand,Café,2023,Energy,Yes,No Sugar,Yes,3,Afternoon,No
Hyderabad,Telangana,18-25,Other,Filter Coffee,5,Others,Home,3272,Socializing,Yes,Medium Sugar,Yes,3,Night,No
Pune,Maharashtra,36-50,Male,Brewed,3,Bru,Home,2283,Energy,Yes,Less Sugar,No,0,Afternoon,Yes
Pune,Maharashtra,50+,Male,Brewed,1,Local Brand,Office,1815,Taste,No,Medium Sugar,No,1,Afternoon,Yes
Kolkata,West Bengal,26-35,Other,Filter Coffee,3,Starbucks,Café,1800,Habit,No,Less Sugar,No,4,Night,Yes
Delhi,Delhi,18-25,Female,Brewed,3,Bru,Home,3805,Socializing,No,No Sugar,Yes,2,Evening,No
Ahmedabad,Gujarat,18-25,Female,Espresso,5,Starbucks,Office,2315,Energy,No,Less Sugar,No,3,Night,Yes
Bangalore,Karnataka,36-50,Other,Instant,4,Bru,Home,4476,Habit,No,Less Sugar,No,1,Afternoon,Yes
Pune,Maharashtra,26-35,Other,Filter Coffee,2,Local Brand,Office,1687,Energy,Yes,Less Sugar,Yes,0,Evening,No
Delhi,Delhi,18-25,Male,Cold Coffee,2,Starbucks,Café,1757,Socializing,No,Less Sugar,No,1,Afternoon,No
Ahmedabad,Gujarat,36-50,Female,Instant,5,Others,Office,2631,Taste,No,High Sugar,No,3,Morning,Yes
Delhi,Delhi,50+,Other,Brewed,5,Local Brand,Café,801,Energy,Yes,High Sugar,Yes,4,Evening,No
Ahmedabad,Gujarat,50+,Male,Instant,1,Bru,Café,4966,Habit,Yes,Less Sugar,Yes,2,Morning,Yes
Jaipur,Rajasthan,18-25,Female,Filter Coffee,1,Bru,Home,300,Taste,Yes,Medium Sugar,Yes,1,Night,Yes
Bangalore,Karnataka,18-25,Male,Filter Coffee,4,Others,Office,4471,Taste,Yes,Less Sugar,No,5,Afternoon,No
Kolkata,West Bengal,36-50,Other,Espresso,3,Bru,Home,4225,Energy,No,Less Sugar,Yes,6,Morning,No
Mumbai,Maharashtra,36-50,Male,Cold Coffee,2,Local Brand,Café,2742,Energy,No,Less Sugar,No,2,Night,Yes
Pune,Maharashtra,36-50,Male,Brewed,4,Others,Office,1737,Habit,No,Medium Sugar,Yes,2,Morning,Yes
Kolkata,West Bengal,18-25,Male,Cold Coffee,1,Nestlé,Office,2458,Habit,No,Less Sugar,Yes,2,Night,Yes
Chennai,Tamil Nadu,18-25,Male,Brewed,5,Local Brand,Home,3865,Socializing,Yes,Less Sugar,Yes,3,Evening,Yes
Bangalore,Karnataka,26-35,Male,Brewed,4,Starbucks,Office,740,Taste,No,Less Sugar,No,6,Evening,Yes
Lucknow,Uttar Pradesh,18-25,Female,Cold Coffee,4,Bru,Office,3660,Energy,Yes,High Sugar,No,0,Afternoon,Yes
Pune,Maharashtra,50+,Other,Filter Coffee,2,Others,Café,1329,Habit,Yes,Less Sugar,Yes,1,Morning,No
Kolkata,West Bengal,36-50,Female,Instant,3,Nestlé,Café,561,Energy,No,High Sugar,No,0,Night,Yes
Mumbai,Maharashtra,36-50,Female,Espresso,1,Others,Home,4267,Energy,No,No Sugar,No,3,Night,No
Bangalore,Karnataka,50+,Other,Brewed,2,Others,Home,1252,Taste,No,No Sugar,Yes,4,Evening,Yes
Kolkata,West Bengal,18-25,Other,Cold Coffee,2,Local Brand,Office,2709,Socializing,Yes,Less Sugar,Yes,0,Evening,Yes
Kolkata,West Bengal,36-50,Male,Brewed,2,Bru,Home,4132,Energy,No,Less Sugar,No,3,Night,No
Chennai,Tamil Nadu,36-50,Female,Instant,2,Starbucks,Café,4216,Socializing,Yes,Medium Sugar,Yes,3,Evening,Yes
Delhi,Delhi,18-25,Male,Espresso,3,Bru,Café,1493,Habit,No,Less Sugar,No,2,Night,Yes
Pune,Maharashtra,18-25,Male,Instant,3,Local Brand,Café,4357,Energy,Yes,No Sugar,No,1,Evening,Yes
Lucknow,Uttar Pradesh,50+,Male,Cold Coffee,5,Local Brand,Home,1755,Habit,Yes,Less Sugar,Yes,1,Evening,No
Hyderabad,Telangana,36-50,Other,Brewed,1,Nestlé,Café,660,Habit,No,High Sugar,No,3,Night,No
Lucknow,Uttar Pradesh,18-25,Male,Brewed,1,Local Brand,Office,1315,Taste,Yes,Medium Sugar,No,3,Night,No
Bangalore,Karnataka,50+,Female,Espresso,5,Nestlé,Home,4815,Socializing,Yes,Medium Sugar,No,3,Morning,Yes
Kolkata,West Bengal,26-35,Male,Instant,2,Bru,Home,2124,Socializing,No,No Sugar,Yes,5,Afternoon,No
Ahmedabad,Gujarat,50+,Other,Instant,5,Bru,Office,1126,Taste,Yes,High Sugar,No,4,Night,Yes
Delhi,Delhi,26-35,Other,Cold Coffee,1,Others,Office,2481,Socializing,Yes,High Sugar,Yes,0,Evening,No
Mumbai,Maharashtra,26-35,Male,Cold Coffee,3,Local Brand,Office,741,Habit,Yes,Medium Sugar,No,1,Morning,No
Chennai,Tamil Nadu,50+,Female,Brewed,4,Nestlé,Office,1252,Energy,Yes,High Sugar,Yes,2,Night,No
Lucknow,Uttar Pradesh,36-50,Female,Espresso,2,Local Brand,Office,2944,Habit,No,Medium Sugar,Yes,4,Morning,No
Pune,Maharashtra,26-35,Other,Filter Coffee,1,Bru,Café,4681,Habit,No,Less Sugar,No,5,Night,No
Lucknow,Uttar Pradesh,18-25,Other,Filter Coffee,3,Nestlé,Office,4725,Habit,Yes,Medium Sugar,Yes,3,Evening,Yes
Ahmedabad,Gujarat,50+,Female,Cold Coffee,1,Starbucks,Café,3962,Taste,No,Medium Sugar,No,4,Morning,No
Ahmedabad,Gujarat,36-50,Male,Espresso,4,Nestlé,Café,2922,Taste,Yes,High Sugar,Yes,6,Night,No
Pune,Maharashtra,18-25,Other,Brewed,1,Starbucks,Office,1668,Energy,Yes,High Sugar,Yes,5,Night,Yes
Bangalore,Karnataka,26-35,Male,Cold Coffee,1,Starbucks,Café,371,Energy,Yes,Less Sugar,No,6,Evening,Yes
Jaipur,Rajasthan,36-50,Other,Instant,4,Bru,Home,4342,Energy,Yes,High Sugar,No,1,Afternoon,Yes
Ahmedabad,Gujarat,26-35,Female,Espresso,2,Nestlé,Café,1845,Socializing,Yes,Medium Sugar,Yes,4,Afternoon,Yes
Bangalore,Karnataka,26-35,Female,Filter Coffee,2,Local Brand,Home,1329,Habit,No,Medium Sugar,Yes,3,Afternoon,No
Kolkata,West Bengal,36-50,Female,Filter Coffee,2,Nestlé,Home,967,Energy,Yes,High Sugar,Yes,2,Night,No
Delhi,Delhi,26-35,Female,Espresso,1,Starbucks,Café,3342,Habit,No,High Sugar,Yes,6,Afternoon,Yes
Jaipur,Rajasthan,26-35,Other,Cold Coffee,3,Nestlé,Office,4692,Taste,No,No Sugar,No,2,Evening,Yes
Ahmedabad,Gujarat,50+,Male,Brewed,2,Bru,Home,512,Taste,Yes,Medium Sugar,No,5,Evening,No
Pune,Maharashtra,36-50,Male,Instant,5,Starbucks,Café,1010,Habit,No,Medium Sugar,No,3,Morning,Yes
Pune,Maharashtra,26-35,Other,Espresso,2,Local Brand,Home,3057,Socializing,No,High Sugar,No,3,Afternoon,Yes
Bangalore,Karnataka,50+,Female,Brewed,1,Others,Office,1707,Energy,No,High Sugar,Yes,1,Morning,Yes
Chennai,Tamil Nadu,50+,Other,Filter Coffee,3,Bru,Café,2094,Energy,Yes,Less Sugar,Yes,1,Morning,No
Kolkata,West Bengal,36-50,Other,Instant,2,Local Brand,Home,2905,Socializing,Yes,High Sugar,No,4,Morning,Yes
Kolkata,West Bengal,18-25,Male,Instant,4,Nestlé,Home,815,Taste,No,Medium Sugar,Yes,3,Night,No
Lucknow,Uttar Pradesh,50+,Male,Instant,4,Local Brand,Home,4573,Energy,Yes,Less Sugar,Yes,4,Morning,Yes
Lucknow,Uttar Pradesh,50+,Other,Cold Coffee,3,Bru,Home,2213,Energy,No,Less Sugar,Yes,1,Night,Yes
Bangalore,Karnataka,26-35,Female,Instant,3,Nestlé,Office,4550,Taste,Yes,Less Sugar,No,4,Night,No
Bangalore,Karnataka,50+,Male,Espresso,4,Starbucks,Office,741,Habit,No,High Sugar,Yes,1,Afternoon,Yes
Pune,Maharashtra,26-35,Male,Brewed,1,Others,Office,3126,Energy,Yes,Less Sugar,No,0,Morning,No
Hyderabad,Telangana,50+,Other,Filter Coffee,3,Starbucks,Office,4576,Habit,Yes,Medium Sugar,No,2,Night,Yes
Lucknow,Uttar Pradesh,50+,Other,Instant,5,Local Brand,Café,4167,Socializing,Yes,Medium Sugar,No,2,Afternoon,No
Ahmedabad,Gujarat,26-35,Female,Cold Coffee,3,Local Brand,Office,4847,Habit,No,High Sugar,No,1,Morning,No
Mumbai,Maharashtra,36-50,Female,Espresso,3,Local Brand,Café,901,Socializing,Yes,High Sugar,Yes,2,Afternoon,No
Bangalore,Karnataka,36-50,Male,Filter Coffee,2,Others,Home,2660,Taste,Yes,High Sugar,Yes,6,Night,No
Delhi,Delhi,50+,Male,Instant,4,Starbucks,Home,4464,Socializing,Yes,High Sugar,Yes,0,Evening,No
Pune,Maharashtra,18-25,Male,Instant,3,Local Brand,Café,4524,Habit,No,Medium Sugar,Yes,2,Afternoon,No
Lucknow,Uttar Pradesh,26-35,Male,Brewed,1,Starbucks,Home,566,Habit,Yes,Medium Sugar,No,6,Morning,No
Mumbai,Maharashtra,18-25,Other,Cold Coffee,2,Nestlé,Office,4135,Habit,Yes,High Sugar,Yes,3,Morning,No
Mumbai,Maharashtra,50+,Female,Instant,5,Starbucks,Home,2353,Energy,No,High Sugar,Yes,3,Morning,No
Hyderabad,Telangana,18-25,Female,Brewed,5,Bru,Café,3212,Habit,No,High Sugar,No,0,Afternoon,No
Pune,Maharashtra,18-25,Other,Instant,2,Starbucks,Home,4428,Energy,Yes,No Sugar,Yes,5,Night,Yes
Delhi,Delhi,50+,Other,Espresso,5,Nestlé,Office,3683,Taste,Yes,Medium Sugar,Yes,0,Afternoon,No
Hyderabad,Telangana,50+,Male,Brewed,3,Others,Home,1970,Energy,Yes,No Sugar,Yes,1,Night,No
Lucknow,Uttar Pradesh,50+,Female,Filter Coffee,2,Starbucks,Office,4412,Taste,No,Medium Sugar,No,5,Evening,No
Bangalore,Karnataka,36-50,Male,Filter Coffee,2,Others,Office,3415,Habit,Yes,No Sugar,No,4,Morning,No
Hyderabad,Telangana,18-25,Female,Brewed,1,Local Brand,Café,3937,Energy,No,No Sugar,Yes,0,Afternoon,No
Lucknow,Uttar Pradesh,26-35,Female,Filter Coffee,1,Local Brand,Office,2669,Socializing,No,No Sugar,No,1,Morning,No
Kolkata,West Bengal,50+,Male,Filter Coffee,1,Starbucks,Office,2805,Energy,No,Medium Sugar,No,1,Morning,No
Hyderabad,Telangana,18-25,Other,Instant,2,Bru,Café,3487,Socializing,Yes,Medium Sugar,Yes,1,Evening,No
Hyderabad,Telangana,36-50,Female,Instant,3,Others,Office,1295,Socializing,Yes,Less Sugar,No,3,Evening,Yes
Kolkata,West Bengal,26-35,Female,Cold Coffee,2,Nestlé,Home,1982,Energy,Yes,No Sugar,No,5,Morning,No
Pune,Maharashtra,50+,Other,Cold Coffee,5,Others,Office,3457,Habit,Yes,Less Sugar,Yes,5,Afternoon,No
Lucknow,Uttar Pradesh,50+,Male,Cold Coffee,2,Bru,Home,4206,Socializing,Yes,Medium Sugar,Yes,3,Morning,Yes
Bangalore,Karnataka,50+,Female,Brewed,3,Starbucks,Office,4181,Socializing,Yes,No Sugar,No,5,Evening,No
Jaipur,Rajasthan,26-35,Other,Cold Coffee,3,Local Brand,Office,1143,Energy,Yes,No Sugar,No,6,Night,No
Lucknow,Uttar Pradesh,36-50,Female,Espresso,2,Local Brand,Home,800,Habit,Yes,Less Sugar,No,4,Morning,No
Jaipur,Rajasthan,36-50,Other,Filter Coffee,5,Bru,Home,1617,Habit,No,No Sugar,No,4,Afternoon,No
Kolkata,West Bengal,18-25,Female,Espresso,3,Bru,Office,1744,Taste,No,High Sugar,No,6,Night,No
Ahmedabad,Gujarat,36-50,Female,Espresso,4,Starbucks,Office,1097,Habit,No,Medium Sugar,Yes,0,Afternoon,No
Mumbai,Maharashtra,18-25,Other,Brewed,5,Others,Office,425,Taste,No,No Sugar,No,2,Night,Yes
Ahmedabad,Gujarat,36-50,Other,Instant,2,Others,Home,2378,Habit,No,Less Sugar,Yes,6,Morning,Yes
Hyderabad,Telangana,36-50,Female,Filter Coffee,2,Others,Home,2879,Socializing,No,High Sugar,Yes,2,Morning,No
Pune,Maharashtra,50+,Male,Brewed,1,Bru,Home,2570,Socializing,Yes,High Sugar,No,1,Evening,Yes
Kolkata,West Bengal,26-35,Male,Filter Coffee,1,Nestlé,Home,4428,Taste,No,Medium Sugar,Yes,2,Afternoon,Yes
Chennai,Tamil Nadu,50+,Other,Brewed,3,Local Brand,Home,320,Socializing,Yes,Medium Sugar,No,5,Night,No
Pune,Maharashtra,26-35,Male,Instant,4,Bru,Office,1164,Energy,Yes,No Sugar,No,0,Afternoon,No
Jaipur,Rajasthan,18-25,Female,Filter Coffee,3,Nestlé,Café,3875,Habit,No,Medium Sugar,No,6,Night,Yes
Kolkata,West Bengal,50+,Female,Espresso,5,Nestlé,Office,532,Energy,Yes,Less Sugar,No,0,Afternoon,Yes
Bangalore,Karnataka,50+,Female,Cold Coffee,2,Nestlé,Café,1516,Habit,No,Medium Sugar,Yes,4,Afternoon,No
Ahmedabad,Gujarat,18-25,Female,Brewed,3,Nestlé,Home,1629,Energy,Yes,Less Sugar,No,3,Morning,Yes
Chennai,Tamil Nadu,26-35,Male,Brewed,3,Local Brand,Café,1726,Socializing,No,Less Sugar,No,1,Night,No
Bangalore,Karnataka,50+,Other,Espresso,5,Bru,Café,1213,Taste,No,High Sugar,Yes,6,Afternoon,Yes
Mumbai,Maharashtra,50+,Female,Cold Coffee,4,Bru,Café,4646,Socializing,Yes,No Sugar,No,1,Afternoon,Yes
Chennai,Tamil Nadu,36-50,Other,Espresso,1,Starbucks,Café,498,Taste,No,High Sugar,Yes,1,Afternoon,Yes
Ahmedabad,Gujarat,50+,Other,Instant,1,Nestlé,Café,2311,Habit,Yes,Medium Sugar,No,2,Night,Yes
Mumbai,Maharashtra,26-35,Female,Brewed,2,Bru,Home,3935,Habit,No,No Sugar,No,6,Afternoon,No
Mumbai,Maharashtra,26-35,Female,Espresso,2,Starbucks,Café,2413,Socializing,Yes,High Sugar,No,6,Morning,No
Delhi,Delhi,18-25,Female,Filter Coffee,3,Others,Office,1764,Energy,No,High Sugar,No,2,Night,No
Chennai,Tamil Nadu,50+,Female,Filter Coffee,2,Others,Home,1557,Habit,No,Medium Sugar,No,0,Night,Yes
Chennai,Tamil Nadu,26-35,Other,Brewed,1,Others,Home,1660,Taste,No,Medium Sugar,No,2,Night,No
Mumbai,Maharashtra,18-25,Other,Filter Coffee,2,Bru,Home,4185,Habit,No,Medium Sugar,Yes,0,Night,No
Mumbai,Maharashtra,50+,Female,Instant,5,Others,Office,1628,Habit,Yes,No Sugar,Yes,2,Afternoon,Yes
Chennai,Tamil Nadu,26-35,Other,Cold Coffee,2,Nestlé,Office,4674,Energy,Yes,High Sugar,Yes,5,Night,Yes
Jaipur,Rajasthan,26-35,Male,Espresso,4,Local Brand,Office,555,Energy,No,No Sugar,Yes,3,Morning,Yes
Kolkata,West Bengal,26-35,Male,Filter Coffee,5,Starbucks,Home,1240,Habit,No,High Sugar,Yes,6,Afternoon,No
